session_code,id_in_session,participant_code,channel,nickname,body,timestamp
ykdzfw2h,9,3o2kadzu,3-live_bargaining-99,B2,i think i did v bad on the sliders ;-;,1715677340.1847146
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,your choice,1715677342.3965282
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,ok,1715677342.4678464
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-107,A,exactly,1715677345.2634945
ykdzfw2h,21,n6p6kpol,3-live_bargaining-103,A,that was quick,1715677345.9416728
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,yeah but if we dont all pick the same proposal no one is getting anything,1715677347.948405
ykdzfw2h,18,275e2ui1,3-live_bargaining-102,B1,ok,1715677348.7975228
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,So I think all members are equally important,1715677350.625253
ykdzfw2h,19,bxgty49l,3-live_bargaining-103,B2,slay,1715677351.1849177
ykdzfw2h,14,10hb91v0,3-live_bargaining-102,A,I think A should get slightly more ,1715677352.3627887
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-99,B1,you can try well next time :) ,1715677353.8099988
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,0 Im fine,1715677356.5646222
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,I would say its a pretty good deal,1715677360.8563962
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,your choice,1715677361.267701
ykdzfw2h,18,275e2ui1,3-live_bargaining-102,B1,alr,1715677362.3798869
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,"with each minute, i will increase my ask by 5",1715677364.6026773
ykdzfw2h,36,iwrxhwk3,3-live_bargaining-108,A,Hey hey lets get that bread,1715677367.2771387
ykdzfw2h,7,p8983tf0,3-live_bargaining-99,A,it takes some practice tbh,1715677367.2916503
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-107,A,"but, you need an A player",1715677368.262235
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,okay im choosing proposal 2,1715677371.8111997
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,i want at least 45 now,1715677372.4504063
ykdzfw2h,27,smddi2bm,3-live_bargaining-105,A,That's was easier anf faster than espected:),1715677372.486937
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,split even or 0,1715677377.194931
ykdzfw2h,14,10hb91v0,3-live_bargaining-102,A,what about 50 25 25,1715677377.287866
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,Im sure 0,1715677377.3309004
ykdzfw2h,9,3o2kadzu,3-live_bargaining-99,B2,"yeah, i was hopin for the other sliders",1715677377.7348647
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,"Yes, but A without a B still only gets 10",1715677381.3115602
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-99,B1,even you did very well you only get high posibility. Doesnt mean you must get playe 'A' as I got,1715677385.5523417
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-107,B1,"and you need an a b1 player, otherwise you get almost nothing",1715677385.6721416
ykdzfw2h,18,275e2ui1,3-live_bargaining-102,B1,lgtm,1715677385.6985626
ykdzfw2h,20,tzz523nu,3-live_bargaining-104,B2,Both play1 and i prefer id 1,1715677387.5506914
ykdzfw2h,29,qmykdy6l,3-live_bargaining-105,B1,Ahahah yes everbody is writing quite fast ahah,1715677390.206988
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,Maybe next round you will be A,1715677391.174243
ykdzfw2h,16,wr4oyk0w,3-live_bargaining-102,B2,thats not slightly more lol,1715677391.4648108
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,0 then,1715677393.35392
ykdzfw2h,7,p8983tf0,3-live_bargaining-99,A,exactly,1715677395.4042337
ykdzfw2h,9,3o2kadzu,3-live_bargaining-99,B2,tru,1715677398.4059427
ykdzfw2h,7,p8983tf0,3-live_bargaining-99,A,its not deterministic,1715677401.5864081
ykdzfw2h,17,69gxbqoq,3-live_bargaining-101,B1,do we have to wait now? Or make more proposals?,1715677401.8538125
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,of course you prefer that ,1715677405.4939382
ykdzfw2h,27,smddi2bm,3-live_bargaining-105,A,ahahah true,1715677406.1579294
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,fair play,1715677407.4674306
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-107,B1,"so i propose 40 for B1, and 30 for a and B2",1715677408.3509035
ykdzfw2h,2,zu5rxx67,3-live_bargaining-98,B2,help B2,1715677409.311923
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,lol,1715677410.4182105
ykdzfw2h,12,7ikal8ir,3-live_bargaining-100,A,what is the best offer with 50 points for me,1715677411.2557023
ykdzfw2h,25,dlal68fq,3-live_bargaining-105,B2,"Yeah hahaha, I just hope the other 5 rounds are the same as this one",1715677412.505745
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,okay I can make it a bit better,1715677412.8075902
ykdzfw2h,18,275e2ui1,3-live_bargaining-102,B1,^^,1715677413.016624
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,I just think its most fair that everyone gets around the same,1715677416.430105
ykdzfw2h,16,wr4oyk0w,3-live_bargaining-102,B2,ID 4?,1715677421.48461
ykdzfw2h,9,3o2kadzu,3-live_bargaining-99,B2,but in general i think i messed up haha ,1715677423.653066
ykdzfw2h,29,qmykdy6l,3-live_bargaining-105,B1,I hope so,1715677424.3381002
ykdzfw2h,7,p8983tf0,3-live_bargaining-99,A,but i did quite well on sliders tho ,1715677425.6571672
ykdzfw2h,16,wr4oyk0w,3-live_bargaining-102,B2,A you get more,1715677429.948168
ykdzfw2h,20,tzz523nu,3-live_bargaining-104,B2,i and risk neutral so i prefer to keep it fair at every round,1715677437.2925045
ykdzfw2h,6,iw6538t5,3-live_bargaining-98,A,what do you mean?,1715677438.654342
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,broo,1715677439.5288484
ykdzfw2h,15,brcpj4zp,3-live_bargaining-101,A,i guess we have to wait anyway,1715677447.7633317
ykdzfw2h,25,dlal68fq,3-live_bargaining-105,B2,☻,1715677455.9752908
ykdzfw2h,14,10hb91v0,3-live_bargaining-102,A,pick 5 it is better,1715677458.067009
ykdzfw2h,8,6ul57k0b,3-live_bargaining-100,B2,4?,1715677459.1051362
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,yes but the timer is not risk neutral,1715677459.1307137
ykdzfw2h,36,iwrxhwk3,3-live_bargaining-108,A,come now my dudes really gonna greed for the extra coin :(?,1715677459.840849
ykdzfw2h,17,69gxbqoq,3-live_bargaining-101,B1,"Oh, okay haha",1715677462.8648696
ykdzfw2h,16,wr4oyk0w,3-live_bargaining-102,B2,I can do that,1715677463.2819376
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,u can increase all u want im choosing proposal 2 lol,1715677465.4320407
ykdzfw2h,2,zu5rxx67,3-live_bargaining-98,B2,"the 6 one, it was a joke",1715677466.3811166
ykdzfw2h,18,275e2ui1,3-live_bargaining-102,B1,correct,1715677466.8774326
ykdzfw2h,27,smddi2bm,3-live_bargaining-105,A,for every round the players in the group are the same?,1715677475.69187
ykdzfw2h,10,maxxa0b9,3-live_bargaining-100,B1,7,1715677475.842315
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,if you are risk neutral you pick option 4,1715677478.8739066
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-107,A,"but if I don't agree, you get nothing",1715677483.99546
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,Always therell be people unwilling that others get equally,1715677485.094199
ykdzfw2h,25,dlal68fq,3-live_bargaining-105,B2,nop afaik they change,1715677485.7413049
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,because you will get 20,1715677485.944775
ykdzfw2h,10,maxxa0b9,3-live_bargaining-100,B1,1,1715677486.657676
ykdzfw2h,29,qmykdy6l,3-live_bargaining-105,B1,Unfortunatly I don't think so,1715677487.8014538
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,"You can always fight for like 7 more points but really, with any B refusing you'll receive nothing",1715677487.9378688
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-107,B1,k,1715677490.3642569
ykdzfw2h,27,smddi2bm,3-live_bargaining-105,A,:(,1715677493.1291854
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,if you do this you get 0,1715677495.4560692
ykdzfw2h,6,iw6538t5,3-live_bargaining-98,A,lol,1715677495.9712138
ykdzfw2h,22,93vk2elh,3-live_bargaining-104,B1,"see, your payoff today is the average of all payoffs. this means that if you get 80 in one round and 2x10 ini the other two, your expected value stays the same, so in the long run it doesn't truly matter - except you are more often player A and the B's accept your unequally balanced proposal...",1715677500.4647794
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,okay i guess we all get 0 then ,1715677501.708443
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,you are bargaining even though you have little power,1715677504.6020098
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,"or just 10 points, which isn't much",1715677505.3211553
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,thats fine by me,1715677507.5160754
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-107,A,let's just do 3,1715677510.8492987
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,Im more than willing to play 0,1715677515.1907797
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,:),1715677518.7439826
ykdzfw2h,29,qmykdy6l,3-live_bargaining-105,B1,Is this trial?,1715677521.8233614
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,not exactly i have the power to make sure you get 0,1715677522.9887896
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-99,B1,good luck for the next round :) ,1715677523.3302042
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-107,B1,whats the point of this,1715677525.9620893
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,I am confident in my slider abilities,1715677526.2303634
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,that enough power for me,1715677527.1232796
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-107,A,nice talking to you,1715677527.136305
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,yesss,1715677528.604317
ykdzfw2h,27,smddi2bm,3-live_bargaining-105,A,It was a pleasure to deal with you guys,1715677530.1947272
ykdzfw2h,20,tzz523nu,3-live_bargaining-104,B2,let s make it id1,1715677531.870765
ykdzfw2h,7,p8983tf0,3-live_bargaining-99,A,yeah. good luck,1715677531.9265602
ykdzfw2h,9,3o2kadzu,3-live_bargaining-99,B2,good luck ;),1715677533.1596646
ykdzfw2h,22,93vk2elh,3-live_bargaining-104,B1,fair point haha,1715677533.4074605
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-107,B1,it will probably always lead to this,1715677533.5700195
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,hehe,1715677534.6964173
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,same!,1715677535.5032358
ykdzfw2h,25,dlal68fq,3-live_bargaining-105,B2,Yeah same,1715677538.1864061
ykdzfw2h,27,smddi2bm,3-live_bargaining-105,A,yes I think so,1715677538.2416496
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-119,A,Hi,1715677609.509734
ykdzfw2h,14,10hb91v0,3-live_bargaining-114,A,hiii,1715677610.4190292
ykdzfw2h,31,u53icqui,3-live_bargaining-119,B2,Hii,1715677610.6039057
ykdzfw2h,16,wr4oyk0w,3-live_bargaining-114,B1,hi,1715677610.9936476
ykdzfw2h,25,dlal68fq,3-live_bargaining-117,B2,Hi I propose we do equal for everyone,1715677611.22193
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-120,A,hello,1715677613.0986109
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,hello lovely people,1715677613.7546687
ykdzfw2h,29,qmykdy6l,3-live_bargaining-117,B1,Hi everyone I suggest to make it equal :),1715677615.466203
ykdzfw2h,26,icm5jw1w,3-live_bargaining-118,B2,split even?,1715677619.0469992
ykdzfw2h,26,icm5jw1w,3-live_bargaining-118,B2,okay nice,1715677625.9822528
ykdzfw2h,30,aykj1i6i,3-live_bargaining-117,A,I want at least 50,1715677626.1564078
ykdzfw2h,28,gb3p43e3,3-live_bargaining-118,B1,yesss,1715677629.7742634
ykdzfw2h,7,p8983tf0,3-live_bargaining-111,A,cmon why lose this 1 point,1715677631.5371168
ykdzfw2h,15,brcpj4zp,3-live_bargaining-114,B2,hi,1715677631.558887
ykdzfw2h,31,u53icqui,3-live_bargaining-119,B2,"We just did 34 33 and 33, I think thats most fair",1715677632.8102365
ykdzfw2h,19,bxgty49l,3-live_bargaining-115,A,oo you were faster,1715677635.8622386
ykdzfw2h,27,smddi2bm,3-live_bargaining-118,A,"ahahah well, seems like we have a deal",1715677637.7014356
ykdzfw2h,30,aykj1i6i,3-live_bargaining-117,A,with each minute I will increase by 5 my ask,1715677638.1553347
ykdzfw2h,32,2175hu1w,3-live_bargaining-120,B2,hello!,1715677640.026636
ykdzfw2h,19,bxgty49l,3-live_bargaining-115,A,hello :),1715677640.3977666
ykdzfw2h,30,aykj1i6i,3-live_bargaining-117,A,you decide,1715677642.1548986
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-111,B2,yes,1715677642.7993262
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-111,B2,make sense,1715677645.258935
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,guys lets be nice today,1715677645.7126923
ykdzfw2h,17,69gxbqoq,3-live_bargaining-113,B2,smart B1,1715677645.8977122
ykdzfw2h,26,icm5jw1w,3-live_bargaining-118,B2,that was fast haha,1715677646.2851384
ykdzfw2h,22,93vk2elh,3-live_bargaining-116,B1,it's been a pleasure my fair mates.,1715677646.372228
ykdzfw2h,29,qmykdy6l,3-live_bargaining-117,B1,:(,1715677647.6003013
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,who wants an extra point,1715677649.6565616
ykdzfw2h,21,n6p6kpol,3-live_bargaining-116,A,<3,1715677650.365081
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-111,B2,2nd one,1715677650.5387394
ykdzfw2h,14,10hb91v0,3-live_bargaining-114,A,I believe A should get slightly more ,1715677650.6645756
ykdzfw2h,28,gb3p43e3,3-live_bargaining-118,B1,this is the easiest way,1715677650.9086862
ykdzfw2h,20,tzz523nu,3-live_bargaining-116,B2,perfect guys,1715677657.4812832
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-120,A,that was a fast proposal,1715677658.440699
ykdzfw2h,18,275e2ui1,3-live_bargaining-113,B1,ty<3,1715677661.000098
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-120,A,hahaha,1715677661.2313478
ykdzfw2h,25,dlal68fq,3-live_bargaining-117,B2,"What's the point of being rude, we all have 5 rounds",1715677663.667286
ykdzfw2h,17,69gxbqoq,3-live_bargaining-113,B2,A we will get 0 if you stay at your choice,1715677665.4877138
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-119,A,but as A i have a higher leverage,1715677667.2336838
ykdzfw2h,29,qmykdy6l,3-live_bargaining-117,B1,That's true,1715677670.9347858
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,haha,1715677671.4321723
ykdzfw2h,25,dlal68fq,3-live_bargaining-117,B2,I will not accept anything thats not close to equal,1715677673.0012753
ykdzfw2h,19,bxgty49l,3-live_bargaining-115,A,you,1715677673.2120533
ykdzfw2h,13,6whe0107,3-live_bargaining-113,A,Im not gonna to accept 3,1715677675.1004603
ykdzfw2h,34,bv1rchfe,3-live_bargaining-120,B1,"thx, i know my buttons haha",1715677677.978497
ykdzfw2h,31,u53icqui,3-live_bargaining-119,B2,Mmm not really that much,1715677678.0959036
ykdzfw2h,18,275e2ui1,3-live_bargaining-113,B1,why,1715677679.0391085
ykdzfw2h,30,aykj1i6i,3-live_bargaining-117,A,"ok fine, 40,30,30",1715677679.3211505
ykdzfw2h,36,iwrxhwk3,3-live_bargaining-119,B1,I just want to get moni XD,1715677680.0539544
ykdzfw2h,9,3o2kadzu,3-live_bargaining-112,A,ey,1715677681.3387978
ykdzfw2h,30,aykj1i6i,3-live_bargaining-117,A,best price,1715677682.249079
ykdzfw2h,9,3o2kadzu,3-live_bargaining-112,A,ez,1715677682.5782497
ykdzfw2h,17,69gxbqoq,3-live_bargaining-113,B2,don't do that ,1715677684.1584263
ykdzfw2h,23,qirmcohg,3-live_bargaining-115,B2,earned it by suggesting it i guess:),1715677684.2812414
ykdzfw2h,13,6whe0107,3-live_bargaining-113,A,but so will you guys,1715677686.7477593
ykdzfw2h,8,6ul57k0b,3-live_bargaining-112,B2,?,1715677690.3336759
ykdzfw2h,31,u53icqui,3-live_bargaining-119,B2,Without any single B nobody receives anything really,1715677691.175183
ykdzfw2h,7,p8983tf0,3-live_bargaining-111,A,thanks. appreciated,1715677697.2622554
ykdzfw2h,16,wr4oyk0w,3-live_bargaining-114,B1,I believe b1 should also get slightly more than b2,1715677698.8601656
ykdzfw2h,19,bxgty49l,3-live_bargaining-115,A,sure did ,1715677699.6501122
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-119,A,"so it would be fair if we do 40,30, 30, as B1 said",1715677700.6082704
ykdzfw2h,31,u53icqui,3-live_bargaining-119,B2,just 10 points max,1715677700.902516
ykdzfw2h,13,6whe0107,3-live_bargaining-113,A,this is already a fair offer,1715677702.466785
ykdzfw2h,10,maxxa0b9,3-live_bargaining-112,B1,1,1715677702.7405438
ykdzfw2h,29,qmykdy6l,3-live_bargaining-117,B1,35 32 32?,1715677703.1574986
ykdzfw2h,12,7ikal8ir,3-live_bargaining-111,B1,"i know, my brain was not braining",1715677704.5297422
ykdzfw2h,9,3o2kadzu,3-live_bargaining-112,A,gg,1715677707.1299932
ykdzfw2h,13,6whe0107,3-live_bargaining-113,A,best i can give,1715677707.1785326
ykdzfw2h,29,qmykdy6l,3-live_bargaining-117,B1,something loike that,1715677708.828958
ykdzfw2h,8,6ul57k0b,3-live_bargaining-112,B2,ja 1,1715677709.932973
ykdzfw2h,10,maxxa0b9,3-live_bargaining-112,B1,hh,1715677710.70008
ykdzfw2h,17,69gxbqoq,3-live_bargaining-113,B2,"okay, I accept it for this round",1715677713.788415
ykdzfw2h,30,aykj1i6i,3-live_bargaining-117,A,ok,1715677714.3356972
ykdzfw2h,3,77a6ed9a,3-live_bargaining-110,A,i think  ID 1 or 2 are the most fair,1715677718.7067826
ykdzfw2h,14,10hb91v0,3-live_bargaining-114,A,Why does it make sense you need A to form a group,1715677721.4288695
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,thanks,1715677723.2205918
ykdzfw2h,18,275e2ui1,3-live_bargaining-113,B1,gg,1715677723.7084994
ykdzfw2h,36,iwrxhwk3,3-live_bargaining-119,B1,In any case we should settle at least 30s before the deadline in case we end up accepting different stuff and getting  zero,1715677725.7712116
ykdzfw2h,26,icm5jw1w,3-live_bargaining-118,B2,so how was ur guys day? we have 3min to kill lol,1715677729.3621752
ykdzfw2h,2,zu5rxx67,3-live_bargaining-110,B2,yes,1715677730.198318
ykdzfw2h,25,dlal68fq,3-live_bargaining-117,B2,☻thanks A,1715677731.1581879
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,idk how to type on german keyboard,1715677732.3642852
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-119,A,ok,1715677732.7026522
ykdzfw2h,31,u53icqui,3-live_bargaining-119,B2,"A does not really have a much higher leverage I think, because if all three dont agree we all receive muuuch less",1715677733.9810872
ykdzfw2h,28,gb3p43e3,3-live_bargaining-118,B1,Nice to meet you guysss,1715677736.8902948
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,so no exclamation mark ,1715677738.17737
ykdzfw2h,29,qmykdy6l,3-live_bargaining-117,B1,:),1715677738.4115956
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-111,B2,hahah :D,1715677738.6782196
ykdzfw2h,2,zu5rxx67,3-live_bargaining-110,B2,1 is the fairest,1715677739.4456332
ykdzfw2h,32,2175hu1w,3-live_bargaining-120,B2,"That""s a nice one",1715677739.7252672
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-120,A,win-win,1715677739.8439193
ykdzfw2h,18,275e2ui1,3-live_bargaining-113,B1, ,1715677740.7072
ykdzfw2h,28,gb3p43e3,3-live_bargaining-118,B1,Im good,1715677741.9048486
ykdzfw2h,30,aykj1i6i,3-live_bargaining-117,A,:-),1715677744.8860188
ykdzfw2h,19,bxgty49l,3-live_bargaining-115,A,idk how to type in general lmao,1715677745.6879451
ykdzfw2h,4,a8gna0pr,3-live_bargaining-110,B1,agreed,1715677746.1300707
ykdzfw2h,13,6whe0107,3-live_bargaining-113,A, ,1715677748.4004152
ykdzfw2h,18,275e2ui1,3-live_bargaining-113,B1,\n,1715677752.2984304
ykdzfw2h,36,iwrxhwk3,3-live_bargaining-119,B1,damn the german kezboard I can^t type XD,1715677753.5302777
ykdzfw2h,30,aykj1i6i,3-live_bargaining-117,A,Better some utility for all than nothing at all,1715677754.7575948
ykdzfw2h,26,icm5jw1w,3-live_bargaining-118,B2,nice to meet u too ,1715677756.6237626
ykdzfw2h,27,smddi2bm,3-live_bargaining-118,A,"ahahha everything fine, a bit stressed for the end of the semester though",1715677757.4265025
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,found it!,1715677758.946815
ykdzfw2h,31,u53icqui,3-live_bargaining-119,B2,lol,1715677759.1876564
ykdzfw2h,24,caq3vqi1,3-live_bargaining-115,B1,thanks!,1715677762.6668267
ykdzfw2h,17,69gxbqoq,3-live_bargaining-113,B2,But really not nice,1715677762.7918208
ykdzfw2h,25,dlal68fq,3-live_bargaining-117,B2,exactly ,1715677762.8203843
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-119,A,"but i could do a deal with B1, and each would get 5 points, and if B2 wants to join in, everyone gets an extra 30 points",1715677764.4691577
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-120,A,I'm accepting the first one,1715677766.5067525
ykdzfw2h,18,275e2ui1,3-live_bargaining-113,B1,i agree,1715677771.545532
ykdzfw2h,25,dlal68fq,3-live_bargaining-117,B2,☺,1715677772.0362341
ykdzfw2h,15,brcpj4zp,3-live_bargaining-114,B2,i think #1 id fair. you need everybody in the boat for good profit,1715677773.3012435
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-119,A,"so i would say 35,35,30",1715677775.484267
ykdzfw2h,3,77a6ed9a,3-live_bargaining-110,A,yes,1715677775.559208
ykdzfw2h,31,u53icqui,3-live_bargaining-119,B2,yeah I think most stuff will equate to 30 30 30ish,1715677777.1228902
ykdzfw2h,13,6whe0107,3-live_bargaining-113,A,hh i was thinking of 80 10 10,1715677777.7030056
ykdzfw2h,19,bxgty49l,3-live_bargaining-115,A,youre welcome!,1715677778.861305
ykdzfw2h,26,icm5jw1w,3-live_bargaining-118,B2,fairr exams coming up isnt exactly fun haha,1715677784.1696002
ykdzfw2h,18,275e2ui1,3-live_bargaining-113,B1,:O,1715677784.3284438
ykdzfw2h,36,iwrxhwk3,3-live_bargaining-119,B1,Ok perhaps 36 32 32 to sweeten the deal for A?,1715677786.0484853
ykdzfw2h,13,6whe0107,3-live_bargaining-113,A,but dont want to be so rude on the first round,1715677790.2220619
