participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.own_strategy,player.other_players_strategy,player.pilot_difficulty,player.pilot_explanation,player.pilot_interface,player.pilot_time,player.research_question,player.comments,player.dummy_player_axiom,player.symmetry_axiom,player.efficiency_axiom,player.linearity_additivity_axiom,player.linearity_HD1_axiom,player.stability_axiom,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
26,icm5jw1w,BLU_17,0,45,45,survey,Completion,2024-05-14 08:36:05.926225,1,,,258.0,26,,0.0,Go fair or nothing because that is what i did when i was A.,Some people wanted more but if <ou held your ground and said evenly or 0 they changed their mind last minute.,Medium difficulty,Very well,Very well,Just right,Human behavior during anonymous distribution of weath?,,Neutral,Strongly Agree,Strongly Agree,Agree,No opinion,No opinion,1,1,ykdzfw2h,,,,,0
27,smddi2bm,BLU_08,0,45,45,survey,Completion,2024-05-14 08:36:05.932551,1,,,280.0,27,,0.0,I always tried to do an equal proposition. I think this was the easier and fairest think to do. ,"There were some players that tried to get more money, but finally we split every time equaly",Easy,Very well,Very poorly,Too much,skillness of bargain when you don't have to face the other,,No opinion,Strongly Agree,Strongly Agree,Neutral,Agree,No opinion,1,1,ykdzfw2h,,,,,0
28,gb3p43e3,BLU_13,0,45,45,survey,Completion,2024-05-14 08:36:05.938936,1,,,271.0,28,,0.0,Fair game. Everyone is happy,Most are fine. Some are mean. They think they have more bargaining power. But we could also just let him/her have 0,Medium difficulty,Well,Neutral,Just right,,Maybe increase the two-player budget such that its more difficult?,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
29,qmykdy6l,BLU_03,0,45,45,survey,Completion,2024-05-14 08:36:05.945065,1,,,240.0,29,,0.0,To split evenly. Its the easiest way to make sure getting a optimal outcome,The most of them where cool and they played fairly. However there was someone who wanted to take advantedge,Easy,Very well,Very well,Just right,human behaviour in bargaining?,,Neutral,Agree,Strongly Agree,No opinion,No opinion,No opinion,1,1,ykdzfw2h,,,,,0
30,aykj1i6i,BLU_32,0,45,45,survey,Completion,2024-05-14 08:36:05.951215,1,,,272.0,30,,0.0,I usually price it highly in my favor to set expectations. Afterwards I show that I am willing to compromise and this usually means that others are willing to take less as they are already happy that I compromised for them. ,"Some of them used brinkmanship, so they would threaten not to do a deal that I proposed and everyone would get 0. So usually I would just run the time down and at the last minute, agree to the deal so that I at least get some utility.",Easy,Very well,Very well,Just right,Whether minor power differences significantly affect outcomes in a game with a bargaining element.,Not applicable. ,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
31,u53icqui,BLU_22,0,45,45,survey,Completion,2024-05-14 08:36:05.957246,1,,,242.0,31,,0.0,"Fairness of 34 33 33, since all members are equally important but the whole budget should be paid out. A was chosen at random, so it makes sense to give it to A.",Some were greedy but most were very amicable. I feel like some A's thought they had higher leverage and wanted to use that.,Medium difficulty,Very well,Very well,Just right,If ego gets in the way of a fair and optimal payout for all parties.,"Not really, but it was fun :).",Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,1,1,ykdzfw2h,,,,,0
32,2175hu1w,BLU_33,0,45,45,survey,Completion,2024-05-14 08:36:05.964523,1,,,262.0,32,,0.0,I mainly stick with 34/33/33 and most of the team members are friendly and accepted that. That distribution optimize our benefit. And we know the points would be round up at the end so everyone is rational in the study. ,"Most of them are friendly except one guy I met in trial round. He insulted Bs (said ""take your bread"") and assigned 40/30/30. I don""t wanna accept that but another B accept that without even voice out. So in order to advoid 0 point, I have to accept that. That happened in the last 30 seconds. I think that is their strategy, time pressure.",Medium difficulty,Very well,Well,Too much,To see if power (authority) makes one to be more arrogant?,,Disagree,Agree,Agree,Disagree,Agree,Agree,1,1,ykdzfw2h,,,,,0
33,8v2hfg8c,BLU_02,0,45,45,survey,Completion,2024-05-14 08:36:06.678625,1,,,267.0,33,,0.0,"I was A during the first rounds. I tried to get a bit more than the rest (because I supposedly got the best score), but then Bs wouldn't accept it and I finally succumbed to their proposal (34-33-33). I needed them to form a group, so they are equally important. when it was my turn to be a B, I better understood their position. At the end, I went for a win-win strategy. All my round ended up being 34-33-33.",Most of us agreed on the win-win scenario. There were some A's that tried to earn a bit more (just like me at the beginning) but then realized the fairest thing to do was the 34-33-33 setting proposed (because Bs were as important as them in terms of forming a group and earning points).,Easy,Very well,Very well,Just right,are people fair when being part of a group?,,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,1,1,ykdzfw2h,,,,,0
34,bv1rchfe,BLU_27,0,45,45,survey,Completion,2024-05-14 08:36:06.688075,1,,,307.0,34,,0.0,"34 33 33, everyone wins, no one is evil","sometimes, the players agreed with me. at other times, they were immensely greedy, one A asked for 40 once",Medium difficulty,Neutral,Very well,Just right,"how greedy people are, and some are very greedy",,No opinion,Agree,Agree,Agree,Agree,Agree,1,1,ykdzfw2h,,,,,0
35,5ubvbqrt,BLU_28,0,45,45,survey,Completion,2024-05-14 08:36:06.714192,1,,,261.0,35,,0.0,"be a bit of an asshole, because i think thats needed for negotiation, and put on some pressure  i saw this more as a game, so i was trying to do my best","i think they didnt really care about a few pennies, so they werent as determined, ",Difficult,Well,Well,Just right,how determined people negotiate based on gender...,it wasnt really clear how much 100 points in the game equate to in CHF,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,ykdzfw2h,,,,,0
36,iwrxhwk3,BLU_16,0,45,45,survey,Completion,2024-05-14 08:36:06.726130,1,,,259.0,36,,0.0,Pressing for 36 to 40 points as A and trying to get 33 as B. Since receiving 30 & 32 grants the same payoff of 8 points I felt it would be reasonable to try for 40 as an A. Not that it succeeded alas :(,"Similar to my own I feel, though many A players I encountered were excceedingly passive and simply accepted 34 33 33. I had expected As to press their advantage more, and perhaps they did in the first few rounds, but I guess things driffted more egalitarian towards the end. No one had a game where they failed to form a group to my knowledge which was slightly unexpected",Medium difficulty,Well,Well,Just right,Group collaboration strategies.,"Would be very interesting to see the same experimental set-up but with more people, 4 to 5 for instance. Also, maybe I missed this but there didn^t appear to be a keyboard preferrence selection during the signup for the experiment, and I was rather thrown off due to receiving a german keyboard instead of the US version I am accustomed to.",Disagree,Strongly Agree,Strongly Agree,Strongly Agree,No opinion,Strongly Agree,1,1,ykdzfw2h,,,,,0
1,d12v1y8v,,0,0,45,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,1,1,8s9n331q,,,,,1
2,3va4d2pw,,0,0,45,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,1,1,8s9n331q,,,,,1
3,p3nqjcl4,,0,0,45,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,1,1,8s9n331q,,,,,1
1,qo7o2u3r,,0,0,45,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,1,1,zlyapjtj,,,,,1
2,05njl3hl,,0,0,45,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,1,1,zlyapjtj,,,,,1
3,jr989sc8,,0,0,45,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,1,1,zlyapjtj,,,,,1
1,wtf9m9iv,BLU_13,0,45,45,survey,Completion,2024-05-14 11:37:24.500466,1,,,185.0,1,,0.0,Try to be neutral and dont say to much (only in the B case). And trying to be nice to the other 2 (because I could be B on the next round),The same as mine. But they tried to be more pleasing (on the B player case).,Easy,Very well,Very well,Just right,Could someone want more if they have some privilege/power compared to the others?,no,Disagree,Agree,Strongly Agree,Neutral,Disagree,Neutral,1,1,5r4374w0,,,,,0
2,bxtwzkk3,BLU_24,0,45,45,survey,Completion,2024-05-14 11:37:24.518595,1,,,180.0,2,,0.0,never had to bargain because as B they suggested equal split.,most of them were nice and suggested a equal 35-35-30 split. ,Easy,Well,Very well,Too much,How do people interact when having a chat option vs when they dont have that option,,No opinion,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,1,1,5r4374w0,,,,,0
3,c1re0k0c,BLU_10,0,45,45,survey,Completion,2024-05-14 11:37:24.524345,1,,,160.0,3,,0.0,Just do an even split to maximise eveyone's profit and spread some positivity. There was no reason for B to be excluded just because they were unlucky in the selection process.,"Everyone was nice, I was lucky to meet people who thought the same thing as I did and we always split evenly between the 3 of us.",Very easy,Very well,Very well,Too much,"How people view welfare and how they chose to split it when they are in control. Maybe, I don't actually know.",I have no idea why the points were divided by 4,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,1,1,5r4374w0,,,,,0
4,hmipyra9,BLU_30,0,45,45,survey,Completion,2024-05-14 11:37:24.529699,1,,,170.0,4,,0.0,"A1 and A2 get 35 points and B gets 30, therefore it is more or less equal, everyone is included and everyone gets out with a profit.","Their strategy was the same, no one wanted to leave with 0 points so everyone agreed on the equal split among all three players",Very easy,Very well,Very well,Too much,Bargaining skills (beim Handeln) - if people act selfishly or not,,Disagree,Agree,Agree,Agree,Agree,Neutral,1,1,5r4374w0,,,,,0
5,hljd8j8s,BLU_09,0,45,45,survey,Completion,2024-05-14 11:37:24.534611,1,,,165.0,5,,0.0,"split as equally as possible (i n terms of integer numbers, since 100 is not divisible by 3) the full budget","they were all really correct, i always got people with same strategy",Very easy,Very well,Very well,Way too much,-,,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,1,1,5r4374w0,,,,,0
6,1a434dy2,BLU_01,0,45,45,survey,Completion,2024-05-14 11:37:24.540313,1,,,140.0,6,,0.0,"propose a fair strategy at first, if everyone agree, its fine  if i was player b, i have to convince that every other player has the same chance to be player b in the next round and get in the sane situation.","only one player had a different strategy, agree the fair strategy at first and then propose a 5050 for p1 and p2 when the countdown began, so player 2 has to follow him/her and result a zero for B",Very easy,Well,Very well,Just right,social welfare,,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,1,1,5r4374w0,,,,,0
7,wdb2bmuc,BLU_22,0,45,45,survey,Completion,2024-05-14 11:37:24.545451,1,,,182.0,7,,0.0,"At start i was a2, so i wanted to share 100 with a1, and i`m willing to give a1 a bit more. but then i realized that i can be B at some point, so i decided to also share some with B hoping that people would be nice to me as well when i became B","A1 player in first round seems to have same idea as me. B player in first round is not very strong at bargaining, and he didn`t speak enough for him",Easy,Well,Well,Too much,"if the role can change or distribute randomly, people will be nicer to others",,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,1,1,5r4374w0,,,,,0
8,sl0ekey1,BLU_21,0,45,45,survey,Completion,2024-05-14 11:37:24.556850,1,,,173.0,8,,0.0,"As A, I have two strategies, 1: 50 50 0, being evil. 2: 35 35 0/ 40 40 20, being nice. And I give the selection two another a to decide.  As B, I could only beg for 35 35 30.  The rule makes people evil, but I want to be a little bit nice",All the people I met are nice and go for fair distribute,Easy,Very well,Very well,Too much,"Selfish, Sympathy","well, this exp makes me feel a lilttle bad of myself",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,1,1,5r4374w0,,,,,0
9,1kh6c4dr,BLU_04,0,45,45,survey,Completion,2024-05-14 11:37:24.561857,1,,,165.0,9,,0.0,"Be nice and show my kindness, to make sure fair distribution.",They also show their kindness and communicate well.,Medium difficulty,Very well,Well,Too much,"Socilism, sympathy.",,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,5r4374w0,,,,,0
10,lq9jgj3i,BLU_15,0,45,45,survey,Completion,2024-05-14 11:37:24.567055,1,,,166.0,10,,0.0,"dividing equally between all participants including B players, because it is fair. due to random process of choosing who is a or b, it is not fair to exclude b from the payouts. ","some of the A players wanted to have as much payout as possible. but after the second A player suggests including B into payout, they would agree. B players wanted at least some amount to receive, so they often suggested to have significantly lower payout than A players. some of the A players were suggesting almost equal payouts for all from the beginning to certainly receive money. ",Medium difficulty,Well,Very well,Too much,socialism?)),,Strongly Disagree,Neutral,No opinion,Agree,Strongly Agree,Agree,1,1,5r4374w0,,,,,0
11,f15fo3yu,BLU_02,0,45,45,survey,Completion,2024-05-14 11:37:24.572000,1,,,136.0,11,,0.0,"Since everyone has the probability of being B, the best strategy is to go for a balanced proposal, which offers approx. the same money for everyone","in the first few rounds, some like to exclude B, in the end, everyone agrees on a ",Easy,Well,Well,Just right,game theory,,Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,1,1,5r4374w0,,,,,0
12,jkojnnx7,BLU_18,0,45,45,survey,Completion,2024-05-14 11:37:24.576940,1,,,178.0,12,,0.0,"When I play role B, I tend to let them benefit more than mine, so there's better chance they will include B in the proposal.","In the first two rounds, player a1 and a2 are more likely to exclude b from the proposal. But when it comes to later rounds, I guess all of them have been b at least once, a1 and a2 players are nicer and include b in the game.",Very easy,Very well,Well,Just right,some behaviral questions,,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,1,1,5r4374w0,,,,,0
13,kmp1r22f,BLU_00,0,45,45,survey,Completion,2024-05-14 11:37:24.581850,1,,,178.0,13,,0.0,i feel everyone know the game is to get more points. so i just submit the proposal that i can accept no matter what position am I. ,i think some player try to make the game fair. it does influence me at the end of the game. but i think it also because i already get lots of points and i know the feeling in position B. so i would like to comprimise.,Very easy,Very well,Well,Just right,,,Neutral,Neutral,Agree,Neutral,Agree,Neutral,1,1,5r4374w0,,,,,0
